time,wheel freq,motor current,motor rpm,motor torque,bamocar dc voltage,pack current,pack voltage,tractive voltage,left thermistor,right thermistor,middle thermistor,motor temperature,igbt temperature,pack power,real torque
0.0,0.0,,,,,,,,12.892322208832416,11.919913389859795,12.521880753985704,,,,
0.0014500000000000068,0.0,,,,,,,,12.79454184908829,12.033990476227943,12.61151407600157,,,,
0.0041200000000000125,0.0,,,,,,,,12.614491117697384,12.24404966285067,12.77656302067906,,,,
0.008240000000000025,0.0,,,,,,,,12.730257838823222,12.220900838408992,12.7534066632649,,,,
0.012359999999999982,0.0,,,,,,,,12.31351120212067,12.197744480994832,12.7534066632649,,,,
0.016479999999999995,0.0,,,,,,,,12.683952656967383,12.267206020264831,12.7534066632649,,,,
0.018500000000000016,0.0,0.0,1.0,0.0,0.0,,,,12.57043752668972,12.358018124486962,12.866921793542565,16.774599999999992,14.518421955672238,,0.0
0.020600000000000007,0.0,0.0,1.0,0.0,0.0,,,,12.452426747688188,12.452426747688188,12.984932572544094,16.79704323618964,14.522928810969901,,0.0
0.024440000000000017,0.0,0.0,1.0,0.0,0.0,,,,12.387685895553043,12.193477381193397,12.769141433798438,16.83808229665071,14.531169917799915,,0.0
0.02472000000000002,0.0,0.0,1.0,0.0,0.0,,,,12.382965208418188,12.174595656553151,12.7534066632649,16.84107472814266,14.531770831839603,,0.0
0.028839999999999977,0.0,0.0,1.0,0.0,0.0,,,,12.267206020264831,12.35981638397651,12.846017026976575,16.885106220095686,14.540612852709305,,0.0
0.03295999999999999,0.0,0.0,1.0,0.0,0.0,,,,12.614491117697384,12.128290474697314,12.70710148140906,16.929137712048707,14.549454873579005,,0.0
0.03709000000000001,0.0,0.0,1.0,0.0,0.0,,,,12.683952656967383,12.081985292841477,12.591342293255703,16.973276076555017,14.55831835566441,,0.0
0.041210000000000024,0.0,0.0,1.0,0.0,0.0,,,,12.35981638397651,12.267206020264831,12.799711845120738,17.017307568508038,14.567160376534112,,0.0
0.04149000000000003,0.0,0.0,1.0,0.0,0.0,,,,12.364536559161778,12.2719261954501,12.804432532255593,17.02029999999999,14.5677612905738,,0.0
0.04532999999999998,0.0,0.0,1.0,0.0,0.0,,,,12.429270390274027,12.336660026562347,12.86917338439074,17.02029999999999,14.5677612905738,,0.0
0.04743000000000003,0.0,0.0,1.0,0.0,0.0,,,,12.441073387985128,12.277656556872529,12.774764761189513,17.02029999999999,14.5677612905738,,0.0
0.04819000000000001,0.0,0.0,1.0,0.0,0.0,,,,12.445344949061527,12.256302920222883,12.740597830888117,17.02029999999999,14.5677612905738,,0.0
0.04829,0.0,0.0,1.0,0.0,0.0,1.379241943359375,531.819637298584,0.5991208828054368,12.44590699657158,12.253493231190033,12.73610218216425,17.02029999999999,14.5677612905738,0.8263326507077551,0.0
0.049449999999999994,0.0,0.0,1.0,0.0,0.0,1.378676922077366,531.819637298584,0.6021087599509841,12.452426747688188,12.220900838408992,12.683952656967383,17.02029999999999,14.5677612905738,0.8263326507077551,0.0
0.053570000000000007,0.0,0.0,1.0,0.0,0.0,1.3766701223516096,531.819637298584,0.6127208753299971,12.892322208832416,11.85045938356228,12.452426747688188,17.02029999999999,14.5677612905738,0.8263326507077551,0.0
0.05769000000000002,0.0,0.0,1.0,0.0,0.0,1.3746633226258531,531.819637298584,0.62333299070901,12.568185935841544,12.035680110985636,12.568185935841544,17.02029999999999,14.5677612905738,0.8263326507077551,0.0
0.061809999999999976,0.0,0.0,1.0,0.0,0.0,1.3726565229000967,531.819637298584,0.6339451060880228,12.8228682025349,12.012523753571475,12.591342293255703,17.02029999999999,14.5677612905738,0.8263326507077551,0.0
0.06447999999999998,0.0,0.0,1.0,0.0,0.0,1.3713559997768516,531.819637298584,0.6408223750351015,12.717836168321044,12.357623429639874,12.876420177055483,17.02029999999999,14.5677612905738,0.8263326507077551,0.0
